"Time (s)","Voltage (V)"
-9.047e-06,-0.000662
-9.043e-06,-0.000662
-9.039e-06,-0.000796
-9.034999999999999e-06,-0.000796
-9.030999999999999e-06,-0.000729
-9.027e-06,-0.000662
-9.023e-06,-0.000595
-9.019e-06,-0.000662
-9.015e-06,-0.000796
-9.010999999999999e-06,-0.000796
-9.006999999999999e-06,-0.000729
-9.003e-06,-0.000662
-8.999e-06,-0.000595
-8.995e-06,-0.000662
-8.990999999999999e-06,-0.000729
-8.986999999999999e-06,-0.000796
-8.982999999999999e-06,-0.000796
-8.979e-06,-0.000662
-8.975e-06,-0.000595
-8.971e-06,-0.000662
-8.966999999999999e-06,-0.000729
-8.962999999999999e-06,-0.000863
-8.959e-06,-0.000796
-8.955e-06,-0.000729
-8.951e-06,-0.000662
-8.947e-06,-0.000662
-8.942999999999999e-06,-0.000729
-8.939e-06,-0.000863
-8.935e-06,-0.000796
-8.931e-06,-0.000729
-8.927e-06,-0.000595
-8.922999999999999e-06,-0.000662
-8.918999999999999e-06,-0.000729
-8.914999999999999e-06,-0.000863
-8.911e-06,-0.000796
-8.907e-06,-0.000729
-8.903e-06,-0.000595
-8.898999999999999e-06,-0.000595
-8.894999999999999e-06,-0.000729
-8.891e-06,-0.000863
-8.887e-06,-0.000863
-8.883e-06,-0.000729
-8.879e-06,-0.000595
-8.874999999999999e-06,-0.000595
-8.871e-06,-0.000729
-8.867e-06,-0.000863
-8.863e-06,-0.000863
-8.859e-06,-0.000729
-8.854999999999999e-06,-0.000662
-8.850999999999999e-06,-0.000595
-8.846999999999998e-06,-0.000729
-8.843e-06,-0.000863
-8.839e-06,-0.000863
-8.835e-06,-0.000796
-8.830999999999999e-06,-0.000662
-8.826999999999999e-06,-0.000595
-8.823e-06,-0.000729
-8.819e-06,-0.000796
-8.815e-06,-0.000863
-8.811e-06,-0.000796
-8.806999999999999e-06,-0.000595
-8.803e-06,-0.000595
-8.799e-06,-0.000662
-8.795e-06,-0.000863
-8.791e-06,-0.00093
-8.786999999999999e-06,-0.000796
-8.782999999999999e-06,-0.000662
-8.779e-06,-0.000595
-8.775e-06,-0.000662
-8.771e-06,-0.000863
-8.767e-06,-0.00093
-8.762999999999999e-06,-0.000796
-8.758999999999999e-06,-0.000662
-8.755e-06,-0.000595
-8.751e-06,-0.000662
-8.747e-06,-0.000863
-8.742999999999999e-06,-0.00093
-8.738999999999999e-06,-0.000796
-8.735e-06,-0.000662
-8.731e-06,-0.000595
-8.727e-06,-0.000662
-8.723e-06,-0.000863
-8.718999999999999e-06,-0.00093
-8.714999999999999e-06,-0.000863
-8.711e-06,-0.000662
-8.707e-06,-0.000595
-8.703e-06,-0.000662
-8.699e-06,-0.000796
-8.694999999999999e-06,-0.00093
-8.690999999999999e-06,-0.000863
-8.687e-06,-0.000662
-8.683e-06,-0.000528
-8.679e-06,-0.000662
-8.674999999999999e-06,-0.000863
-8.670999999999999e-06,-0.00093
